Weather_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Gainesville,US,29.6516,-82.3248,23.94,63,75,6.69,broken clouds
143,Brazzaville,CG,-4.2658,15.2832,29.95,52,37,1.26,light rain
144,Esna,EG,25.2934,32.554,32.89,20,0,6.29,clear sky
145,Vila Velha,BR,-20.3297,-40.2925,25.97,85,20,6.17,few clouds
146,Kununurra,AU,-15.7667,128.7333,25.99,73,40,2.57,scattered clouds
147,Rio Gallegos,AR,-51.6226,-69.2181,17.03,31,20,6.69,few clouds
148,Airai,TL,-8.9266,125.4092,16.74,92,99,0.78,overcast clouds
149,Hasaki,JP,35.7333,140.8333,26.79,80,100,9.37,overcast clouds
150,Saint-Philippe,RE,-21.3585,55.7679,22.77,80,52,4.98,broken clouds
151,Westbrook,US,43.677,-70.3712,17.22,66,40,6.69,scattered clouds
152,Katherine,AU,-14.4667,132.2667,24.18,83,84,2.06,broken clouds
153,Micheweni,TZ,-4.9667,39.8333,24.14,83,60,4.97,broken clouds
154,Palmer,US,42.1584,-72.3287,13.75,79,100,5.14,overcast clouds
155,Jasper,US,37.2001,-94.3502,26.66,32,0,1.54,clear sky
156,Asau,RO,46.4333,26.4,12.51,74,96,1.87,overcast clouds
157,Georgetown,MY,5.4112,100.3354,25.96,96,40,0.0,scattered clouds
158,New Norfolk,AU,-42.7826,147.0587,5.95,70,29,0.45,scattered clouds
159,Tsarychanka,UA,48.937,34.4786,9.65,73,91,3.91,overcast clouds
160,Mao,ES,39.8885,4.2658,24.31,69,40,0.0,scattered clouds
161,Verkhnyaya Inta,RU,65.9811,60.3094,3.6,85,99,3.04,overcast clouds
162,Formosa,AR,-26.1775,-58.1781,28.99,28,0,3.09,clear sky
163,Constitucion,CL,-35.3333,-72.4167,11.89,81,100,1.08,overcast clouds
164,Fairbanks,US,64.8378,-147.7164,2.83,90,0,3.6,clear sky
165,Hvide Sande,DK,56.0045,8.1294,14.49,90,80,11.76,broken clouds
166,Te Anau,NZ,-45.4167,167.7167,1.92,85,92,1.6,overcast clouds
167,Calca,PE,-13.3333,-71.95,15.64,46,79,2.64,broken clouds
168,Harer,ET,9.3094,42.1258,14.84,91,100,0.89,light rain
169,Amga,RU,60.8953,131.9608,-4.71,86,81,3.93,broken clouds
170,Tongliao,CN,43.6125,122.2653,1.2,34,0,2.88,clear sky
171,Pontian Kecil,MY,1.4801,103.3899,25.54,87,100,2.17,overcast clouds
172,Chokurdakh,RU,70.6333,147.9167,-7.28,96,81,3.26,broken clouds
173,Tamiahua,MX,21.2667,-97.45,25.69,78,99,4.35,overcast clouds
174,Souillac,MU,-20.5167,57.5167,22.21,78,40,4.63,scattered clouds
175,Yendi,GH,9.4427,-0.0099,27.96,79,94,2.32,light rain
176,Laguna,US,38.421,-121.4238,25.01,71,0,2.06,clear sky
177,Burnie,AU,-41.0667,145.9167,7.18,54,98,7.02,overcast clouds
178,Menongue,AO,-14.6585,17.691,27.18,10,62,2.16,broken clouds
179,Saint Austell,GB,50.3383,-4.7658,17.31,82,75,7.72,broken clouds
180,Mosquera,CO,4.7059,-74.2302,18.24,65,81,3.32,broken clouds
181,Nelson Bay,AU,-32.7167,152.15,17.78,79,99,3.58,overcast clouds
182,Manokwari,ID,-0.8667,134.0833,25.53,75,93,0.9,overcast clouds
183,Deputatskiy,RU,69.3,139.9,-18.05,98,50,1.73,scattered clouds
184,Avarua,CK,-21.2078,-159.775,23.03,88,75,5.66,broken clouds
185,Sesheke,ZM,-17.4759,24.2968,28.91,13,0,2.37,clear sky
186,Maloy,NO,61.9353,5.1136,10.85,1,100,9.01,light rain
187,Mahebourg,MU,-20.4081,57.7,22.36,78,40,4.63,scattered clouds
188,Elliot,ZA,-31.3333,27.85,11.94,79,1,2.33,clear sky
189,Ambilobe,MG,-13.2,49.05,21.88,80,25,1.09,scattered clouds
190,Nikolskoye,RU,59.7035,30.7861,8.22,95,96,1.25,overcast clouds
191,Carroll,US,39.5501,-77.0164,10.62,92,100,3.09,overcast clouds
192,Pionerskiy,RU,54.9508,20.2275,12.08,74,61,8.13,broken clouds
193,Ostrovnoy,RU,68.0531,39.5131,6.38,95,100,6.03,light rain
194,Sirohi,IN,24.8833,72.8667,27.99,44,68,1.72,broken clouds
195,Powell River,CA,49.8496,-124.5361,17.88,79,83,2.64,broken clouds
196,Guerrero Negro,MX,27.9769,-114.0611,22.81,69,87,3.11,overcast clouds
197,Bougouni,ML,11.417,-7.479,32.39,60,79,0.61,broken clouds
198,Ponta Do Sol,PT,32.6667,-17.1,26.51,74,27,1.94,scattered clouds
199,San Vicente,AR,-26.6167,-54.1333,25.91,28,0,1.55,clear sky
200,Magomeni,TZ,-6.8,39.25,24.61,74,95,4.96,overcast clouds
201,Lesnoy,RU,57.6198,63.0784,9.42,68,74,2.7,broken clouds
202,Sfantu Gheorghe,RO,45.8667,25.7833,8.29,89,86,1.7,overcast clouds
203,Pangai,TO,-19.8,-174.35,25.35,86,5,5.52,clear sky
204,Nanortalik,GL,60.1432,-45.2371,4.07,72,100,5.78,overcast clouds
205,Alofi,NU,-19.0595,-169.9187,25.01,83,16,7.23,few clouds
206,Cherskiy,RU,68.75,161.3,-6.45,85,37,1.69,scattered clouds
207,Kangaatsiaq,GL,68.3065,-53.4641,0.7,77,99,3.18,overcast clouds
208,Plerin,FR,48.5425,-2.7798,17.18,77,100,3.09,overcast clouds
209,Balkhash,KZ,46.844,74.9804,8.69,33,0,10.95,clear sky
210,Belaya Gora,RU,68.5333,146.4167,-7.31,97,88,1.64,overcast clouds
211,Tangshan,CN,39.6333,118.1833,6.64,30,0,2.27,clear sky
212,Tautira,PF,-17.7333,-149.15,24.63,74,79,11.64,light rain
213,Aswan,EG,24.0934,32.907,37.61,14,0,2.06,clear sky
214,Kampong Thum,KH,12.7111,104.8887,24.34,93,66,2.34,light rain
215,Ous,RU,60.9058,61.5186,8.97,84,73,2.47,broken clouds
216,Marzuq,YE,14.4,46.4667,24.73,58,66,2.81,broken clouds
217,Abonnema,NG,4.7084,6.7931,28.01,72,99,2.87,light rain
218,Kenai,US,60.5544,-151.2583,9.05,85,75,7.72,broken clouds
219,Puerto Quijarro,BO,-17.7833,-57.7667,38.44,27,10,3.41,clear sky
220,Marsabit,KE,2.3284,37.9899,22.91,41,5,7.75,clear sky
221,Pascagoula,US,30.3658,-88.5561,26.9,59,0,1.54,clear sky
222,Kokkola,FI,63.8385,23.1307,7.18,95,20,1.03,fog
223,Tiksi,RU,71.6872,128.8694,-5.24,86,100,5.41,overcast clouds
224,Ayr,GB,55.4627,-4.6339,13.51,88,20,3.09,few clouds
225,Great Falls,US,47.5002,-111.3008,19.67,62,0,5.66,clear sky
226,Padang,ID,-0.9492,100.3543,24.61,86,100,1.1,light rain
227,Zalantun,CN,48.0,122.7167,-1.5,41,44,2.48,scattered clouds
228,Khatanga,RU,71.9667,102.5,-4.2,97,100,3.25,light snow
229,Chunoyar,RU,57.4467,97.3217,-3.57,95,24,1.53,few clouds
230,Mount Isa,AU,-20.7333,139.5,20.87,100,75,6.69,broken clouds
231,Marawi,PH,7.9986,124.2928,20.88,95,98,1.15,overcast clouds
232,Namatanai,PG,-3.6667,152.4333,26.2,84,91,4.03,overcast clouds
233,Dandong,CN,40.1292,124.3947,4.12,50,0,5.91,clear sky
234,Manzanillo,CU,20.3433,-77.1167,29.84,63,47,0.52,scattered clouds
235,Ringebu,NO,61.5167,10.1667,7.67,99,100,4.34,light rain
236,Mayo,US,38.8876,-76.5119,11.74,95,100,4.92,overcast clouds
237,Narasaraopet,IN,16.25,80.0667,24.65,90,100,1.94,overcast clouds
238,Sonoita,MX,31.85,-112.8333,28.72,39,0,1.21,clear sky
239,Victoria,HK,22.2855,114.1577,29.54,81,0,1.79,clear sky
240,Raudeberg,NO,61.9875,5.1352,10.53,1,100,9.63,light rain
241,Pangody,RU,65.85,74.4859,2.89,90,88,5.49,overcast clouds
242,Aguimes,ES,27.9054,-15.4461,26.35,44,0,7.72,clear sky
243,Mehamn,NO,71.0357,27.8492,5.97,70,40,6.69,scattered clouds
244,Ribeira Grande,PT,38.5167,-28.7,24.22,69,20,5.66,few clouds
245,Kallidaikurichchi,IN,8.6667,77.4833,26.7,76,100,3.51,overcast clouds
246,Agadir,MA,30.4202,-9.5982,28.25,37,9,5.64,clear sky
247,Sayat,TM,38.7839,63.8803,16.93,18,1,5.24,clear sky
248,Minab,IR,27.1467,57.0801,30.15,61,0,1.54,clear sky
249,Opuwo,NA,-18.0607,13.84,29.79,14,52,3.24,broken clouds
250,Ambanja,MG,-13.6833,48.45,22.14,86,7,0.16,clear sky
251,Verkhnetulomskiy,RU,68.6073,31.7962,5.07,96,100,1.73,overcast clouds
252,Zaysan,KZ,47.4667,84.8667,5.87,31,74,2.07,broken clouds
253,Turukhansk,RU,65.8167,87.9833,-0.02,99,100,2.97,light snow
254,Saint George,US,37.1041,-113.5841,23.02,49,0,0.45,clear sky
255,Isla Mujeres,MX,21.2311,-86.731,29.03,56,3,3.68,clear sky
256,Bozova,TR,37.3625,38.5267,25.51,38,0,2.79,clear sky
257,Sistranda,NO,63.7256,8.834,10.98,91,100,5.4,light rain
258,Busilac,PH,16.477,121.1186,22.88,97,97,0.68,overcast clouds
259,Alihe,CN,50.5667,123.7167,-4.25,53,7,1.66,clear sky
260,Bontang,ID,0.1333,117.5,26.07,84,100,1.83,light rain
261,Pevek,RU,69.7008,170.3133,-3.42,80,87,1.48,overcast clouds
262,Kiruna,SE,67.8557,20.2251,4.51,100,100,4.12,drizzle
263,Aksarka,RU,66.5606,67.7975,3.8,85,56,4.18,broken clouds
264,Mangrol,IN,21.1167,70.1167,27.25,76,60,5.04,broken clouds
265,Ust-Kuyga,RU,70.0167,135.6,-7.74,90,95,1.53,overcast clouds
266,Caravelas,BR,-17.7125,-39.2481,28.1,58,61,6.43,broken clouds
267,Santa Marta,CO,11.2408,-74.199,34.03,62,20,4.12,few clouds
268,Cayenne,GF,4.9333,-52.3333,32.02,58,20,6.17,few clouds
269,Hamilton,US,39.1834,-84.5333,20.55,41,0,2.57,clear sky
270,Sorong,ID,-0.8833,131.25,26.36,83,86,1.82,overcast clouds
271,Levelland,US,33.5873,-102.378,24.55,38,75,4.89,broken clouds
272,Saint-Louis,SN,16.3333,-15.0,38.47,28,78,2.32,broken clouds
